Id,Run1 (ms),Run2 (ms),Run3 (ms),Run4 (ms)
Id_71,115.4319526674,115.2710446827,115.1636284906,115.1422420099
Id_72,139.5308986408,139.5095497158,139.4409928508,139.362773594
Id_73,158.810597902,158.8386487946,158.7186983611,158.6783576357
Id_74,132.1828561513,132.0242318864,131.8967405228,131.8901220084
Id_75,148.2678398249,148.1866881241,148.0559270717,148.0225525011
Id_76,161.9852733833,161.9775461766,161.7991982927,161.8099161501
Id_77,134.8285652189,134.6365500983,134.4599244474,134.4963186103
Id_78,126.8306545801,126.570287655,126.3926442368,126.4220182561
Id_79,146.2789330906,146.2049176725,146.0370990187,146.0390119171
Id_80,127.5811788473,127.3018039169,127.1523696875,127.1601062317
Id_81,175.4862187722,175.3774208097,175.2025682595,175.2011385637
Id_82,149.6146522465,149.4985830844,149.3552602522,149.3377560346
Id_83,159.031623076,159.0504423542,158.9365695238,158.9011473486
Id_84,159.9712069109,159.9682070113,159.8903756332,159.8273696433
Id_85,170.9827998815,170.888794288,170.7780679008,170.7387883728
Id_86,121.1915631651,120.9728384589,120.7853975649,120.8362048988
Id_87,127.0074500683,126.7393241523,126.5664196545,126.5998026177
Id_88,153.5022786159,153.368570151,153.2268855018,153.2097164263
Id_89,154.4093983504,154.2537536954,154.1466410403,154.102971289
Id_90,129.1425913887,128.8528478425,128.6718714053,128.711090782
Id_91,148.7400533899,148.4148942561,148.2355284525,148.2753112178
Id_92,143.9040617615,143.8755723797,143.7086609496,143.6334695269
Id_93,143.7083115189,143.4657158697,143.290720014,143.2419490812
Id_94,146.321035536,146.272625569,146.097041092,146.0265996581
Id_95,138.617952163,138.4270206818,138.1952371231,138.1991784343
Id_96,175.536670668,175.4585467962,175.2744001123,175.1862645916
Id_97,139.4376824663,139.2265260748,139.0253491355,139.0054852346
Id_98,146.1220202145,145.8559877374,145.6722021461,145.6286010481
Id_99,176.5731595746,176.4703991553,176.3256393646,176.2068179084
Id_100,120.4295097538,120.2116720361,120.0657089452,120.0424036193
Id_101,145.5628441014,145.4801275723,145.3675729259,145.2848245433
Id_102,152.5387179133,152.4052395127,152.3154844918,152.2049915145
Id_103,166.6486371302,166.5860616037,166.4514959014,166.3793087262
Id_104,174.6281202285,174.5089946014,174.4002386579,174.2973738265
Id_105,121.7343296809,121.514665603,121.3343088003,121.3365613094
Id_106,147.1377340927,147.0547503846,146.9013010429,146.8488684235
Id_107,122.4549322089,122.2171918092,122.0638680966,122.0451919379
Id_108,155.0997162045,154.9434211578,154.8459180974,154.739947515
Id_109,139.3919474014,139.167479626,138.9562935913,138.9776711483
Id_110,125.8166697843,125.5531199277,125.404937325,125.3903294631
Id_111,152.0650320563,151.9350832332,151.8226617043,151.7480173612
Id_112,137.470883069,137.2517247762,137.0597394618,137.0837906525
Id_113,166.1314204345,166.0724439498,165.9132338123,165.8800559465
Id_114,174.0862858446,173.9710947476,173.8364258452,173.7745033365
Id_115,138.2838786559,138.0444907625,137.8830797607,137.8836366046
Id_116,177.0066937063,176.8660963949,176.7220571884,176.6663521698
Id_117,125.9920628864,125.7208086309,125.5773654186,125.5666743707
Id_118,126.7376635817,126.4474537921,126.3322288298,126.2998077942
Id_119,146.1717943524,146.0631781733,145.9673673145,145.8979867959
Id_120,174.3284379754,174.2029394939,174.0749189946,174.0183558035
Id_121,122.2442754405,122.002323899,121.8356181442,121.8493428761
Id_122,169.1541483087,169.0617991986,168.8995379239,168.877972291
Id_123,147.5522777506,147.2235509487,147.078468217,147.0666844219
Id_124,170.1531639039,170.0369711914,169.9127597139,169.861985026
Id_125,125.7749976084,125.5607557046,125.3549516409,125.3605018569
Id_126,152.0147346234,151.9443108064,151.7622293711,151.7119694474
Id_127,137.4253812985,137.2600664065,137.0051449921,137.0512034368
Id_128,175.0563877472,174.9850354144,174.8095397308,174.7453940794
Id_129,148.3708394208,148.3076072631,148.1305228174,148.0853351765
Id_130,152.8629971438,152.7565563981,152.5974640038,152.5660345136
Id_131,170.8078089528,170.7281288927,170.5452740807,170.5376722756
Id_132,167.4677488487,167.4152847918,167.2174657371,167.2422510149
Id_133,175.4862187722,175.3774208097,175.2025682595,175.2011385637
Id_134,146.0799746451,145.7884713881,145.6124331948,145.6409797074
Id_135,129.7258898608,129.424634172,129.2674923966,129.2806652755
Id_136,156.7833778176,156.613674749,156.4924630547,156.4496514557
Id_137,176.7679328646,176.623856302,176.4951692301,176.4690450413
Id_138,129.9066895884,129.5974528096,129.4451893746,129.4624381372
Id_139,147.8660254423,147.5630011293,147.3508157516,147.4156184826
Id_140,141.9367679957,141.6699168905,141.4725112817,141.5326452766
Id_141,171.5216488692,171.4116768279,171.2482432612,171.2566834641
Id_142,139.1884234932,139.1978764372,139.0476097139,138.9634331099
Id_143,146.723152757,146.6679163207,146.5703604992,146.4336459858
Id_144,138.1818736031,138.0041725543,137.8152845063,137.780671763
Id_145,143.9040617615,143.8755723797,143.7086609496,143.6334695269
Id_146,144.7548280752,144.706320974,144.5716531052,144.471254285
Id_147,164.7512080765,164.7503102986,164.5536213486,164.4898259179
Id_148,138.617952163,138.4270206818,138.1952371231,138.1991784343
Id_149,176.5731595746,176.4703991553,176.3256393646,176.2068179084
Id_150,122.0693367448,121.8435041368,121.7279482786,121.6752527308
Id_151,147.5420805171,147.4521404178,147.3772083461,147.2581912201
Id_152,138.9534513678,138.7423858672,138.5742635657,138.5568239143
Id_153,167.9208489424,167.8738564962,167.7442825804,167.6602784619
Id_154,151.6425172812,151.5305953227,151.4065845951,151.3226673236
Id_155,166.6486371302,166.5860616037,166.4514959014,166.3793087262
Id_156,154.1885671066,154.0543054554,153.922017036,153.843024237
Id_157,128.3309510172,128.0425065491,127.90557781,127.8659821386
Id_158,155.0997162045,154.9434211578,154.8459180974,154.739947515
Id_159,139.3919474014,139.167479626,138.9562935913,138.9776711483
Id_160,146.074108322,145.7941497613,145.5998686094,145.5994711855
Id_161,168.3884221702,168.3216842465,168.2049623697,168.1312500977
Id_162,140.1648173511,139.9164001226,139.7899526477,139.7571620457
Id_163,145.9685303297,145.8685705638,145.7671632506,145.6933143414
Id_164,152.9637133734,152.8120468464,152.7340429401,152.6328053787
Id_165,167.1126888733,167.0304743181,166.9086463226,166.8467033466
Id_166,122.0740585365,121.8395558389,121.668287189,121.6781773136
Id_167,139.7805525761,139.5391824364,139.3383808233,139.3685486765
Id_168,169.6185892014,169.5182577983,169.4462297403,169.3482831391
Id_169,137.662394467,137.4349146689,137.2480657897,137.2764507508
Id_170,139.9752583499,139.7254033156,139.52981543,139.5643965618
Id_171,146.6851828118,146.3784502985,146.2006149141,146.2139522998
Id_172,178.2994501008,178.1230521573,178.0258049481,177.9448020175
Id_173,141.1389852309,141.1351007584,140.9836395138,140.9232668521
Id_174,139.2947265421,139.1214153245,138.8999637829,138.9134994433
Id_175,160.639300927,160.6878176427,160.473097216,160.4535932924
Id_176,145.0626674537,145.040006388,144.8393900781,144.814071953
Id_177,145.9202362178,145.8774321046,145.7091255093,145.658695313
Id_178,144.0139406173,143.7965601453,143.5561010807,143.5818697677
Id_179,168.8633068445,168.8470050467,168.6010011522,168.6012472466
Id_180,169.8606148401,169.8209453623,169.6124425726,169.5836570606
Id_181,170.2711895514,170.2073193869,170.0770175718,170.0219389139
Id_182,145.8723900385,145.8155850988,145.6367737632,145.6295594716
Id_183,146.7347128771,146.6574581553,146.5112645135,146.478906517
Id_184,145.6739807902,145.4002402457,145.2132641404,145.232635643
Id_185,176.0323854874,175.919644021,175.7707866106,175.7282770988
Id_186,122.7156734146,122.4993743486,122.2902085057,122.3351603304
Id_187,169.8049722151,169.7490162452,169.528302557,169.5497681844
Id_188,148.1204764968,147.8225199788,147.626477381,147.6522258503
Id_189,170.8078089528,170.7281288927,170.5452740807,170.5376722756
Id_190,117.7449010589,117.554365272,117.4040803181,117.4199847938
Id_191,149.1442269205,149.0421576101,148.9448448114,148.8857608823
Id_192,162.9421988037,162.9120954948,162.7700761251,162.7529873953
Id_193,170.7452685264,170.6613351254,170.5440658368,170.4995053158
Id_194,176.5224114636,176.3888079745,176.2533791316,176.2217780376
Id_195,123.0581186315,122.8268758821,122.6267965454,122.6795648502
Id_196,147.6604214588,147.3664088152,147.148727106,147.2088315171
Id_197,142.5207998261,142.4587017762,142.3449525093,142.3152019109
Id_198,162.2106892749,162.1934989196,162.0212715439,162.0370751403
Id_199,163.1689381658,163.1292865586,162.993473744,162.9814621968
Id_200,127.759012344,127.4718097068,127.3271814414,127.3389204035
Id_201,175.7303070726,175.6111290027,175.4429249542,175.4469815299
Id_202,146.2833928002,145.9829728626,145.8124261926,145.8455791425
Id_203,123.2296965344,122.9909521867,122.7954349965,122.8521275892
Id_204,129.1425913887,128.8528478425,128.6718714053,128.711090782
Id_205,147.8660254423,147.5630011293,147.3508157516,147.4156184826
Id_206,171.5216488692,171.4116768279,171.2482432612,171.2566834641
Id_207,109.2603804911,109.1370430896,109.0395248166,108.9982894682
Id_208,124.3872102265,124.2879692895,124.1441570956,124.1353600052
Id_209,125.123388449,125.0063982327,124.8904733506,124.8602025859
Id_210,141.1857076991,141.1265253362,141.0398078654,140.9567680748
Id_211,145.1106796745,145.0311953715,144.8970837544,144.8484916067
Id_212,152.0650320563,151.9350832332,151.8226617043,151.7480173612
Id_213,126.5612407049,126.2788035247,126.158772435,126.1224414143
Id_214,144.0616081113,143.7878241495,143.6132870913,143.6159985581
Id_215,174.0862858446,173.9710947476,173.8364258452,173.7745033365
Id_216,144.9132994172,144.618069576,144.4757104704,144.4536821161
Id_217,131.4881306864,131.5133189352,131.4287115092,131.3563589718
Id_218,132.2660001069,132.2731796324,132.2184703147,132.1230289586
Id_219,130.5368687344,130.3850446177,130.2634275051,130.2378812242
Id_220,157.7622121262,157.774297668,157.6965414506,157.606487101
Id_221,158.6943429465,158.684744629,158.6429524636,158.5252101176
Id_222,116.2773502148,116.0934825182,115.9488834113,115.9476531744
Id_223,133.149879871,132.9651726136,132.7951096663,132.8116746327
Id_224,140.3600545802,140.1031208326,139.9820032404,139.9535521401
Id_225,120.9340341501,120.6941438867,120.5618197395,120.5497606408
Id_226,153.1766520458,153.0158548813,152.9437504761,152.8471600922
Id_227,167.3451962089,167.2531224232,167.1376893362,167.0808898664
Id_228,169.1541483087,169.0617991986,168.8995379239,168.877972291
Id_229,177.2528848912,177.1017771516,176.9644866074,176.9142394613
Id_230,109.4932543345,109.3892704781,109.2419107114,109.2575115205
Id_231,132.1828561513,132.0242318864,131.8967405228,131.8901220084
Id_232,117.0517908335,116.8784242995,116.7021456328,116.7379912358
Id_233,122.6706391929,122.4513391867,122.2893401364,122.3077183811
Id_234,123.3967390174,123.1592364865,123.0245949077,123.021974406
Id_235,142.3225783174,142.2688639435,142.1496830249,142.1155213381
Id_236,149.1442269205,149.0421576101,148.9448448114,148.8857608823
Id_237,134.8285652189,134.6365500983,134.4599244474,134.4963186103
Id_238,141.2935252626,141.049012377,140.8900616489,140.9061232616
Id_239,170.7452685264,170.6613351254,170.5440658368,170.4995053158
Id_240,121.7392251668,121.5099264224,121.3447936655,121.3711999734
Id_241,167.4677488487,167.4152847918,167.2174657371,167.2422510149
Id_242,155.8624012402,155.7150360499,155.558800784,155.5428818069
Id_243,125.5645682036,125.4623150389,125.2940546406,125.3328239192
Id_244,148.474283895,148.384367346,148.2592532224,148.2304748031
Id_245,170.9827998815,170.888794288,170.7780679008,170.7387883728
Id_246,147.348532096,147.2451950118,147.1157455946,147.0970738411
Id_247,123.2296965344,122.9909521867,122.7954349965,122.8521275892
Id_248,123.959078718,123.7019437468,123.5337079416,123.569537087
Id_249,141.1024506094,140.8564804376,140.6278917627,140.7117842871
Id_250,170.5146454706,170.4286669131,170.2271043266,170.2646385093
Id_251,138.2838786559,138.0444907625,137.8830797607,137.8836366046
Id_252,175.1142591958,174.9744177275,174.8790895188,174.7868790713
Id_253,122.0740585365,121.8395558389,121.668287189,121.6781773136
Id_254,154.6181293524,154.4654858608,154.3449613934,154.2754121891
Id_255,155.5318005127,155.3569593627,155.2713847479,155.1748400605
Id_256,139.7805525761,139.5391824364,139.3383808233,139.3685486765
Id_257,125.9920628864,125.7208086309,125.5773654186,125.5666743707
Id_258,152.2767278124,152.137729251,152.0311260315,151.9611375827
Id_259,146.1717943524,146.0631781733,145.9673673145,145.8979867959
Id_260,153.1766520458,153.0158548813,152.9437504761,152.8471600922
Id_261,144.2622347757,143.9796746744,143.8105530678,143.8177726575
Id_262,175.3578330596,175.2075919229,175.1190049584,175.0321440459
Id_263,147.7532278142,147.6440686261,147.5073804405,147.4685864667
Id_264,128.8683049118,128.5561483122,128.4338153197,128.4061321928
Id_265,139.9752583499,139.7254033156,139.52981543,139.5643965618
Id_266,170.1531639039,170.0369711914,169.9127597139,169.861985026
Id_267,176.5224114636,176.3888079745,176.2533791316,176.2217780376
Id_268,128.9628469834,128.6810145351,128.4952278679,128.5303647699
Id_269,149.6146522465,149.4985830844,149.3552602522,149.3377560346
Id_270,156.7833778176,156.613674749,156.4924630547,156.4496514557
Id_271,171.2833732913,171.1835257387,171.0136007079,171.0166788256
Id_272,179.4834534639,179.3238121365,179.1789016823,179.1541198967
Id_273,127.759012344,127.4718097068,127.3271814414,127.3389204035
Id_274,175.7303070726,175.6111290027,175.4429249542,175.4469815299
Id_275,139.5917232544,139.3477787608,139.1592185448,139.2126625736
Id_276,176.7679328646,176.623856302,176.4951692301,176.4690450413
Id_277,123.959078718,123.7019437468,123.5337079416,123.569537087
Id_278,170.5146454706,170.4286669131,170.2271043266,170.2646385093
Id_279,141.9367679957,141.6699168905,141.4725112817,141.5326452766
Id_280,148.7400533899,148.4148942561,148.2355284525,148.2753112178
Id_281,116.1153744363,115.938533584,115.7895715711,115.7847104156
Id_282,121.6896526819,121.4670134442,121.3334471636,121.3093415473
Id_283,133.751138991,133.5550669101,133.409669902,133.3992552039
Id_284,169.3829420046,169.2926122564,169.2140419525,169.1109374681
Id_285,120.7656268654,120.5331069315,120.3962239969,120.3804057816
Id_286,144.9132994172,144.618069576,144.4757104704,144.4536821161
Id_287,167.1126888733,167.0304743181,166.9086463226,166.8467033466
Id_288,127.931949103,127.6470171579,127.4912191013,127.4816054777
Id_289,148.4199390699,148.2985991027,148.189518457,148.1205270173
Id_290,147.288616406,147.1932674415,147.1020090428,147.022211031
Id_291,166.3625706322,166.2938226206,166.1409189906,166.1128937606
Id_292,174.3284379754,174.2029394939,174.0749189946,174.0183558035
Id_293,138.4765144631,138.2287311065,138.0725292014,138.0774126804
Id_294,154.8333561557,154.6714847784,154.556866372,154.4920587342
Id_295,122.9678719817,122.7076464457,122.5681670752,122.5609437755
Id_296,140.8029577216,140.532353922,140.3678864034,140.3786113445
Id_297,142.3225783174,142.2688639435,142.1496830249,142.1155213381
Id_298,149.1442269205,149.0421576101,148.9448448114,148.8857608823
Id_299,140.4629624638,140.2391160282,140.0488950649,140.0888704804
Id_300,153.2888902095,153.1642953706,153.0167922695,152.9948565643
Id_301,175.4862187722,175.3774208097,175.2025682595,175.2011385637
Id_302,146.0799746451,145.7884713881,145.6124331948,145.6409797074
Id_303,176.5224114636,176.3888079745,176.2533791316,176.2217780376
Id_304,148.7355192931,148.640511276,148.4639094473,148.4719445642
Id_305,122.8416811945,122.6149178879,122.4575182656,122.4797623049
Id_306,134.2224986267,134.0419145402,133.8405621414,133.9039417838
Id_307,127.0074500683,126.7393241523,126.5664196545,126.5998026177
Id_308,139.5917232544,139.3477787608,139.1592185448,139.2126625736
Id_309,148.9426101848,148.8387918344,148.667792124,148.6804938762
Id_310,149.8229590182,149.6980006275,149.5603588143,149.5475133618
Id_311,157.001599256,156.8225201157,156.7072974254,156.6693315875
Id_312,141.1024506094,140.8564804376,140.6278917627,140.7117842871
Id_313,147.8660254423,147.5630011293,147.3508157516,147.4156184826
Id_314,171.5216488692,171.4116768279,171.2482432612,171.2566834641
Id_315,150.80805121,150.8716484264,150.7862947639,150.683770817
Id_316,121.3509849253,121.1431085211,121.000380415,120.9687526223
Id_317,116.4778079441,116.2980285064,116.1661947863,116.1340936357
Id_318,147.5420805171,147.4521404178,147.3772083461,147.2581912201
Id_319,133.3791771757,133.199191092,133.043724261,133.0250000793
Id_320,161.1928181609,161.1750966805,161.0579002675,160.9748372041
Id_321,119.7207295525,119.5205803561,119.3479953319,119.3453072663
Id_322,166.6486371302,166.5860616037,166.4514959014,166.3793087262
Id_323,174.6281202285,174.5089946014,174.4002386579,174.2973738265
Id_324,147.1377340927,147.0547503846,146.9013010429,146.8488684235
Id_325,146.9376154967,146.6358999029,146.4741392702,146.4486439454
Id_326,169.4449863446,169.3588734509,169.2152408287,169.1487954042
Id_327,114.5083852325,114.3439702326,114.2629829357,114.2018813791
Id_328,124.3872102265,124.2879692895,124.1441570956,124.1353600052
Id_329,125.123388449,125.0063982327,124.8904733506,124.8602025859
Id_330,121.6896526819,121.4670134442,121.3334471636,121.3093415473
Id_331,139.3408427846,139.1129613937,138.9553078378,138.9465262571
Id_332,144.0616081113,143.7878241495,143.6132870913,143.6159985581
Id_333,138.2838786559,138.0444907625,137.8830797607,137.8836366046
Id_334,147.5477796195,147.447369036,147.3050785171,147.2617257011
Id_335,148.4199390699,148.2985991027,148.189518457,148.1205270173
Id_336,155.5318005127,155.3569593627,155.2713847479,155.1748400605
Id_337,168.9191425672,168.836757685,168.6680948588,168.6412819026
Id_338,124.5606263223,124.45398161,124.3148653677,124.3099539286
Id_339,157.7622121262,157.774297668,157.6965414506,157.606487101
Id_340,131.3091530691,131.1384355402,131.0462369618,130.9980724644
Id_341,141.3823568651,141.3148495177,141.2335633768,141.1548319081
Id_342,125.9920628864,125.7208086309,125.5773654186,125.5666743707
Id_343,145.3127572515,145.2246934204,145.096100949,145.0519853304
Id_344,146.1717943524,146.0631781733,145.9673673145,145.8979867959
Id_345,166.3625706322,166.2938226206,166.1409189906,166.1128937606
Id_346,154.8333561557,154.6714847784,154.556866372,154.4920587342
Id_347,178.2994501008,178.1230521573,178.0258049481,177.9448020175
Id_348,114.4328247722,114.3023578313,114.1605820926,114.1518131058
Id_349,131.9948855533,132.0488031657,131.9188040145,131.8797726741
Id_350,158.3694629286,158.4159020991,158.2838460064,158.2337090137
Id_351,133.6629907751,133.5065237619,133.2902589414,133.3408434961
Id_352,134.453629318,134.2778139367,134.0911193687,134.1190085462
Id_353,126.4777958014,126.2328854187,126.0458032477,126.0671923068
Id_354,121.4004205723,121.1859080016,121.0116960248,121.0304387942
Id_355,153.7663635043,153.6382305202,153.5134658913,153.4555608694
Id_356,174.9990530621,174.9109318073,174.7228366908,174.7104797505
Id_357,128.6041025835,128.3380297765,128.1426623553,128.1696678098
Id_358,156.3478387039,156.1968127405,156.0636718793,156.0112090043
Id_359,147.2500649999,146.9740042903,146.7453753164,146.7961215314
Id_360,141.3453409418,141.1042839305,140.8910610295,140.9377042582
Id_361,110.141986589,110.0222669851,109.8993551487,109.8961746385
Id_362,151.5497676703,151.6231160083,151.4806076014,151.4657930474
Id_363,152.4454237472,152.4982907323,152.3899489455,152.3489462896
Id_364,148.2678398249,148.1866881241,148.0559270717,148.0225525011
Id_365,149.1442269205,149.0421576101,148.9448448114,148.8857608823
Id_366,145.2214734928,144.9515528835,144.7432709845,144.7964583735
Id_367,128.9628469834,128.6810145351,128.4952278679,128.5303647699
Id_368,156.7833778176,156.613674749,156.4924630547,156.4496514557
Id_369,149.351883073,149.2409703684,149.1493835287,149.0948875675
Id_370,170.9827998815,170.888794288,170.7780679008,170.7387883728
Id_371,127.0074500683,126.7393241523,126.5664196545,126.5998026177
Id_372,145.4237043027,145.1449454024,144.9420783642,144.9998794983
Id_373,175.7303070726,175.6111290027,175.4429249542,175.4469815299
Id_374,146.2833928002,145.9829728626,145.8124261926,145.8455791425
Id_375,129.1425913887,128.8528478425,128.6718714053,128.711090782
Id_376,129.9066895884,129.5974528096,129.4451893746,129.4624381372
Id_377,141.1024506094,140.8564804376,140.6278917627,140.7117842871
Id_378,171.5216488692,171.4116768279,171.2482432612,171.2566834641
Id_379,127.5760503536,127.3067671508,127.141387117,127.123828947
Id_380,147.1377340927,147.0547503846,146.9013010429,146.8488684235
Id_381,148.007486068,147.9037290892,147.7833329944,147.7052782771
Id_382,139.3919474014,139.167479626,138.9562935913,138.9776711483
Id_383,176.5153309361,176.3956700928,176.238188638,176.1716132469
Id_384,167.1126888733,167.0304743181,166.9086463226,166.8467033466
Id_385,147.5477796195,147.447369036,147.3050785171,147.2617257011
Id_386,155.5318005127,155.3569593627,155.2713847479,155.1748400605
Id_387,140.6071087836,140.345065211,140.1753101473,140.1816290166
Id_388,169.9167783876,169.81063924,169.6799364028,169.623923616
Id_389,178.0518134687,177.886019955,177.7819297643,177.6954788467
Id_390,166.3625706322,166.2938226206,166.1409189906,166.1128937606
Id_391,145.1151040085,144.8110202142,144.6741528726,144.6566249855
Id_392,175.3578330596,175.2075919229,175.1190049584,175.0321440459
Id_393,122.2442754405,122.002323899,121.8356181442,121.8493428761
Id_394,122.9678719817,122.7076464457,122.5681670752,122.5609437755
Id_395,120.6859731953,120.4892616884,120.2883743181,120.3276522393
Id_396,167.0027170118,166.9698543176,166.7594745199,166.773754932
Id_397,145.6739807902,145.4002402457,145.2132641404,145.232635643
Id_398,155.4294043545,155.3005507916,155.1325516105,155.1069643933
Id_399,156.3478387039,156.1968127405,156.0636718793,156.0112090043
Id_400,140.5144756965,140.2940724494,140.0498885209,140.1202695987
Id_401,141.3453409418,141.1042839305,140.8910610295,140.9377042582
Id_402,126.8306545801,126.570287655,126.3926442368,126.4220182561
Id_403,121.7392251668,121.5099264224,121.3447936655,121.3711999734
Id_404,147.1436428404,147.0490232482,146.9139771697,146.8907307027
Id_405,139.3975471941,139.1620575893,138.968288778,139.0173047581
Id_406,148.7355192931,148.640511276,148.4639094473,148.4719445642
Id_407,123.7864934402,123.5369265924,123.3640637894,123.3959747839
Id_408,127.0074500683,126.7393241523,126.5664196545,126.5998026177
Id_409,153.5022786159,153.368570151,153.2268855018,153.2097164263
Id_410,121.9089789814,121.6722577083,121.5116833454,121.5419372287
Id_411,168.6912295789,168.6054529406,168.4514889504,168.4528870051
Id_412,129.1425913887,128.8528478425,128.6718714053,128.711090782
Id_413,147.8660254423,147.5630011293,147.3508157516,147.4156184826
Id_414,170.5146454706,170.4286669131,170.2271043266,170.2646385093
Id_415,120.4295097538,120.2116720361,120.0657089452,120.0424036193
Id_416,145.5628441014,145.4801275723,145.3675729259,145.2848245433
Id_417,147.1377340927,147.0547503846,146.9013010429,146.8488684235
Id_418,155.0997162045,154.9434211578,154.8459180974,154.739947515
Id_419,121.6896526819,121.4670134442,121.3334471636,121.3093415473
Id_420,132.9646008619,132.7878974974,132.6128493103,132.6252352914
Id_421,139.3408427846,139.1129613937,138.9553078378,138.9465262571
Id_422,160.6924333388,160.6780625484,160.5369755454,160.491704681
Id_423,168.3884221702,168.3216842465,168.2049623697,168.1312500977
Id_424,140.1648173511,139.9164001226,139.7899526477,139.7571620457
Id_425,126.5612407049,126.2788035247,126.158772435,126.1224414143
Id_426,144.0616081113,143.7878241495,143.6132870913,143.6159985581
Id_427,144.9132994172,144.618069576,144.4757104704,144.4536821161
